uuid,site_code,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt,AtlasSci_DO,AtlasSci_FloatCond
005c7d6b-8e3f-4250-beb9-bb4e233d3c32,scnf010,2026-04-03 20:45:00,357.7,446.0,17.7,4.382,42.33,460.4
01acc752-2d9d-49aa-8f5f-8905c42d867b,scnf010,2026-04-03 22:15:00,361.2,438.8,17.8,4.397,49.12,431.0
01e9984b-e319-4bf0-925c-35379e65da12,scnf010,2026-04-02 10:00:00,345.5,472.0,18.4,4.063,51.63,245.6
023042eb-4eaa-4d57-9a7c-ab4058c4ecff,scnf010,2026-04-01 08:15:00,286.3,447.5,19.2,4.139,56.25,305.1
02e86f94-0539-4a49-900b-11b9386b479a,scnf010,2026-04-04 01:15:00,365.5,459.3,17.8,4.185,47.18,486.4
0407498a-6782-4574-8e5e-0005807f5aa2,scnf010,2026-04-03 23:00:00,362.2,447.5,17.8,4.382,43.44,430.9
0637d783-ea6d-45f5-bddb-bbf59e986217,scnf010,2026-04-02 18:45:00,346.2,442.3,19.0,4.412,32.48,320.0
06d33ba9-df98-4ade-878a-5ba873e113f5,scnf010,2026-04-03 11:30:00,343.7,437.2,17.6,4.139,37.21,407.5
07f98b04-20c5-4cef-9092-46c20483a3f7,scnf010,2026-04-03 05:00:00,332.3,448.0,18.0,4.169,36.14,414.5
