uuid,site_code,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt,AtlasSci_DO,AtlasSci_FloatCond
8d36280a-9dfe-4222-8052-ada2557781a8,south_fork_0,2025-06-10 19:15:27,676.2,175.2,16.38,,,
2a4d733c-be1a-4add-abcb-5381ac90ec82,south_fork_0,2025-06-10 19:30:27,666.5,174.8,16.4,,,
97e77abc-93ee-474c-8667-ee3ebbe1407c,south_fork_0,2025-06-10 19:45:27,692.0,175.0,16.4,,,
7ecae6f1-cf18-407a-990c-80166ed590b9,south_fork_0,2025-06-10 20:00:28,715.8,174.8,16.5,,,
699c93ed-37e0-4e31-a348-fff9c79f4fbe,south_fork_0,2025-06-10 20:15:27,730.0,175.3,16.6,,,
32f3ef5d-79ee-4928-98d8-23eaef915cc6,south_fork_0,2025-06-10 20:30:28,734.2,175.5,16.6,,,
b0dcd3c5-bcc0-41d6-8428-d005dce73276,south_fork_0,2025-06-10 20:45:28,737.8,176.0,16.6,,,
1ada6b02-4c2c-4eea-8de0-2158c350df71,south_fork_0,2025-06-10 21:00:27,741.2,175.5,16.6,,,
19f08cbd-3c30-4ac0-827f-b6a4069bee21,south_fork_0,2025-06-10 21:15:28,744.2,174.7,16.6,,,
fcd136e9-332d-412a-9f90-4b1e13511592,south_fork_0,2025-06-10 21:30:28,747.0,174.5,16.6,,,
7d23a64c-387f-4bcb-a7aa-87e7b6c2244c,south_fork_0,2025-06-10 21:45:27,749.3,175.3,16.7,,,
cdf0b341-3d56-4aea-bb4c-a391858cc5ac,south_fork_0,2025-06-10 22:00:27,751.7,175.5,16.7,,,
330b982f-eb20-4bb9-b8a2-db805cbb01bb,south_fork_0,2025-06-10 22:15:28,753.5,176.0,16.7,,,
1b987593-948e-4fd5-abb8-83c7230afe62,south_fork_0,2025-06-10 22:30:27,756.2,174.5,16.8,,,
d547df45-6e21-4016-bbeb-32562e119ff6,south_fork_0,2025-06-10 22:45:27,754.3,174.2,16.8,,,
3cde9b86-b5b5-4996-afaf-f069034533cd,south_fork_0,2025-06-10 23:00:28,755.8,175.7,16.8,,,
90c16774-8160-48cd-bd3c-c986471e4520,south_fork_0,2025-06-10 23:15:27,752.7,174.8,16.8,,,
2681f2f7-983a-46f4-92fd-03a4b319241a,south_fork_0,2025-06-10 23:30:27,752.8,174.8,16.8,,,
60caf126-6491-4dfc-9117-03b84caf5841,south_fork_0,2025-06-10 23:45:28,751.3,174.0,16.8,,,
bf59d230-61d4-4939-b96b-9dfeca78e65c,south_fork_0,2025-06-11 00:00:27,754.7,174.2,16.7,,,
0004cfea-d1d6-4a7d-8c6d-60fdffad4b61,south_fork_0,2025-06-11 00:15:28,755.7,173.8,16.7,,,
6a9d6248-1dc0-4249-834b-a8bda5a2f6ca,south_fork_0,2025-06-11 00:30:27,757.2,173.8,16.8,,,
3c3ef271-56a7-46f6-ac0a-403d2f74dc40,south_fork_0,2025-06-11 00:45:27,753.2,174.2,16.7,,,
d4f3c817-465d-4b85-b82e-fa2b25490d9f,south_fork_0,2025-06-11 01:00:28,762.2,173.3,16.7,,,
bfde8518-044d-45b7-8d5f-d253250967ab,south_fork_0,2025-06-11 01:15:27,761.0,175.0,16.7,,,
bb52263d-97b6-4f16-9d01-acb6ec525d9e,south_fork_0,2025-06-11 01:30:27,762.5,173.2,16.5,,,
9b0b8a04-1559-4cdc-a5b9-db3fcdad4e06,south_fork_0,2025-06-11 01:45:27,765.3,173.3,16.38,,,
e7233343-c598-4bcc-848f-dfa43f0fa38d,south_fork_0,2025-06-11 02:00:27,759.0,173.7,16.3,,,
3f92de79-4b4e-4bc0-90e8-113f1e3b8d86,south_fork_0,2025-06-11 02:15:27,763.8,174.0,16.2,,,
9f2a30f0-a35b-49bf-9a80-6d162e507bba,south_fork_0,2025-06-11 02:30:27,765.2,172.7,16.2,,,
6395aa2b-f851-4806-bb57-6c85e1896f4f,south_fork_0,2025-06-11 02:45:27,759.2,172.0,16.1,,,
f521e50b-13c0-498e-9d37-d9e1e7f6b7ae,south_fork_0,2025-06-11 03:00:27,767.7,171.5,16.1,,,
65769a1f-692a-498d-903e-0711eca9a99a,south_fork_0,2025-06-11 03:15:28,767.7,171.3,16.0,,,
d5cd4169-cdc1-4253-9b9a-912f0e64a48c,south_fork_0,2025-06-11 03:30:27,768.2,171.5,16.0,,,
1d5cc233-ab4e-437f-8e4d-846f41579130,south_fork_0,2025-06-11 03:45:27,769.0,172.8,16.0,,,
d3a848a1-3c78-4bcd-9740-95b377d2e681,south_fork_0,2025-06-11 04:00:27,770.0,171.8,16.0,,,
39c678ff-ed97-40e8-b71c-b2309d33c01a,south_fork_0,2025-06-11 04:15:27,769.7,172.3,15.9,,,
04c893d0-021c-4c5e-b382-d8178a00260e,south_fork_0,2025-06-11 04:30:28,769.8,172.3,15.9,,,
1e61007c-d008-48c3-94b2-63e5cc3e279b,south_fork_0,2025-06-11 04:45:28,771.5,172.7,15.9,,,
6977c341-7777-47c4-987f-841b43b12f0f,south_fork_0,2025-06-11 05:00:27,772.7,172.3,15.9,,,
d8008277-ca10-489b-8648-7a74e26bd64e,south_fork_0,2025-06-11 05:15:28,766.2,172.5,15.9,,,
ef716db0-1bc2-44ef-b5e2-7f44ef2aebd9,south_fork_0,2025-06-11 05:30:27,766.7,173.0,15.8,,,
81a122cd-b5e7-45f4-9ae2-d8ebaee85a73,south_fork_0,2025-06-11 05:45:27,767.0,177.3,15.8,,,
9aed23b8-7f5f-46e0-a3f1-4304b7767131,south_fork_0,2025-06-11 06:00:27,751.2,178.8,15.88,,,
e7454b30-9f5d-4360-bdd3-cb9ab3e92ebc,south_fork_0,2025-06-11 06:15:27,702.8,180.7,16.0,,,
e3a1ccfb-47c2-489e-945a-91dd99e558e5,south_fork_0,2025-06-11 06:30:28,668.7,175.7,16.1,,,
df90c24b-d0e8-4eda-9668-de434b5ab561,south_fork_0,2025-06-11 06:45:27,656.7,175.3,16.13,,,
eece9ebb-05e5-49d2-9509-4b713efdba4a,south_fork_0,2025-06-11 07:00:27,688.3,175.5,16.1,,,
6f1c0a38-8a67-41ea-a00c-12a950f6f860,south_fork_0,2025-06-11 07:15:27,718.5,172.0,16.0,,,
0312dffa-bdea-486d-8385-de72e3aafc64,south_fork_0,2025-06-11 07:30:27,741.7,172.5,15.9,,,
8c2bca29-ac77-461f-9be8-488e5383b95b,south_fork_0,2025-06-11 07:45:27,752.0,171.8,15.87,,,
ca328175-b11b-4212-b2b3-b429bc66f173,south_fork_0,2025-06-11 08:00:27,754.3,171.2,15.8,,,
67021ec3-c9c1-40ef-b00a-52e6145ae416,south_fork_0,2025-06-11 08:15:27,754.2,172.8,15.8,,,
f8a18857-a18d-4623-a1a9-205e6b982a6b,south_fork_0,2025-06-11 08:30:27,753.3,172.0,15.8,,,
aa99571e-df1d-4d00-abca-bfb84200dd9c,south_fork_0,2025-06-11 08:45:27,748.2,171.7,15.8,,,
5dcc3ab0-b849-4500-ae42-6dab897dd910,south_fork_0,2025-06-11 09:00:27,739.7,172.8,15.8,,,
71737b90-8aa3-450e-995d-8a202cfb78c4,south_fork_0,2025-06-11 09:15:27,741.3,179.5,15.9,,,
cc6d7e47-d3d6-49d5-84fb-e6db365046c6,south_fork_0,2025-06-11 09:30:27,734.8,174.2,16.2,,,
234b879d-6f60-4aaf-b2a1-b9e666e3bc65,south_fork_0,2025-06-11 09:45:28,723.7,176.3,16.4,,,
313446df-f57c-4efd-8b61-b734b99bc3c3,south_fork_0,2025-06-11 10:00:28,738.3,173.2,16.3,,,
dcb643b0-14e4-4766-b553-5afbe1d7ad39,south_fork_0,2025-06-11 10:15:28,756.3,174.2,16.1,,,
e9de6562-f515-4b6e-9919-fe7b0234170e,south_fork_0,2025-06-11 10:30:28,766.3,173.7,16.0,,,
8f486f60-21e5-46b1-8a57-a5a0126f3699,south_fork_0,2025-06-11 10:45:27,776.7,173.2,15.9,,,
728dcf26-aa52-4ca8-abb0-1126aec6916b,south_fork_0,2025-06-11 11:00:27,782.8,173.5,15.8,,,
69fb10db-2148-4844-9308-84c659000738,south_fork_0,2025-06-11 11:15:28,783.3,171.5,15.7,,,
da9c3b72-3d8a-4034-9f70-6ee27caf8813,south_fork_0,2025-06-11 11:30:27,784.8,172.2,15.7,,,
63b0f027-1b43-4d5a-a42a-37ad7cd4daf3,south_fork_0,2025-06-11 11:45:27,783.2,173.7,15.7,,,
f53a47cd-a106-4ed5-8ab6-86cbff01c99f,south_fork_0,2025-06-11 12:00:27,784.6,172.3,15.58,,,
ade0e279-ece7-4225-ba39-7dd22fa4cd86,south_fork_0,2025-06-11 12:15:27,783.2,172.8,15.7,,,
64c16d27-7f59-4268-a6d4-7b6779cfebe0,south_fork_0,2025-06-11 12:30:37,780.3,172.0,15.7,,,
71384d1a-6c9d-45bd-a9c0-94ef8f540f79,south_fork_0,2025-06-11 12:45:27,784.8,171.3,15.7,,,
9c4bc77d-3742-4a1f-a4d2-ddad49c4a1bc,south_fork_0,2025-06-11 13:00:27,785.3,172.0,15.6,,,
d8f1633c-d595-455c-a47b-9106174dca5f,south_fork_0,2025-06-11 13:15:27,785.0,173.3,15.6,,,
7dafb560-eb45-470f-a19b-3488e7794843,south_fork_0,2025-06-11 13:30:27,780.3,174.7,15.7,,,
8d6312af-3f1b-42a9-868a-1cfc14ef0d4e,south_fork_0,2025-06-11 14:00:27,761.3,175.3,15.7,,,
24e8a4f1-d1f8-477f-a446-2a3baab15543,south_fork_0,2025-06-11 14:15:27,755.3,175.8,15.7,,,
40e00b04-32ee-45b9-b34d-5b1881a1ce8e,south_fork_0,2025-06-11 14:30:28,742.5,176.0,15.8,,,
7219fcf6-9e8f-4560-87aa-6e94bdb81050,south_fork_0,2025-06-11 14:45:27,746.3,174.8,15.7,,,
38cd81b1-4964-46a3-a78a-06a98adf63e1,south_fork_0,2025-06-11 15:00:27,760.2,174.0,15.7,,,
2de8307b-acdf-4e23-a369-7d05acbed95a,south_fork_0,2025-06-11 15:15:27,766.3,173.5,15.7,,,
dd5f0d44-5be2-417a-8239-ff1343079f2c,south_fork_0,2025-06-11 15:30:27,773.0,173.3,15.7,,,
e83d96b2-6815-4487-bb44-111e62e9229a,south_fork_0,2025-06-11 15:45:27,777.2,173.0,15.7,,,
fc3ec30d-d44b-4517-8a88-d75208217925,south_fork_0,2025-06-11 16:00:27,779.5,173.0,15.7,,,
2fc074dd-610e-46df-a495-a790cc2d6b03,south_fork_0,2025-06-11 16:15:28,781.3,173.0,15.7,,,
28730c5a-fc42-4f2f-9b8a-ab5b98b87cfa,south_fork_0,2025-06-11 16:30:28,786.8,172.3,15.7,,,
