uuid,site_code,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt,AtlasSci_DO,AtlasSci_FloatCond
001c433b-c8e3-4c34-8687-4ef0c13806f1,SCNF010,2025-05-11 19:22:00,445.3,463.8,20.4,4.382,,
0033603e-501b-480b-88ac-cf8ee688e530,SCNF010,2025-05-11 22:23:00,417.8,463.3,20.6,4.397,,
00368e3d-af63-45c4-ad5e-1ec20fc32585,SCNF010,2025-05-12 03:29:00,418.3,463.7,20.1,4.154,,
003a6dc7-7c42-42cf-bc7d-44a617e6470c,SCNF010,2025-05-12 00:26:00,462.2,465.8,20.5,4.215,,
003ea8df-8567-48ba-8868-b86fd10989f0,SCNF010,2025-05-12 03:28:00,419.8,465.5,20.2,4.154,,
00457aa4-d7b7-45f5-affd-aeba044bf36a,SCNF010,2025-05-11 20:35:00,412.0,460.8,20.3,4.397,,
00489426-286c-4633-888d-72802c8527e4,SCNF010,2025-05-10 19:01:00,411.0,467.3,21.1,4.382,,
004e92b6-bcfe-4c96-b7af-96e1fbbb386c,SCNF010,2025-05-12 23:21:00,282.7,454.8,19.6,4.382,,
00658e4b-98b3-4b60-9b95-076873ae6d47,SCNF010,2025-05-13 00:10:00,380.5,463.7,20.1,4.397,,
00658fbc-0486-4ac3-a3e7-db8f23555adb,SCNF010,2025-05-11 09:31:00,461.7,477.7,20.8,4.048,,
0096de9b-6244-48d9-972d-3d0314b87cd5,SCNF010,2025-05-13 07:32:00,317.3,467.2,20.02,4.124,,
00dddfad-12b2-4ac2-b4d0-5e7769c141ee,SCNF010,2025-05-12 07:30:00,397.3,462.8,20.5,4.124,,
00e5796b-d9a0-4d93-b118-c9eca9c6c96f,SCNF010,2025-05-11 13:42:00,420.5,477.5,20.7,4.063,,
00e9d459-fc66-4591-9663-14b7ef952f14,SCNF010,2025-05-12 11:48:00,426.8,467.8,20.0,4.109,,
00ec2bbc-1c27-4f82-bf55-a3ba5334bb87,SCNF010,2025-05-13 07:30:00,313.3,461.2,20.0,4.124,,
00f9ecb7-e95d-4320-9bb2-36dfabab320a,SCNF010,2025-05-13 19:08:00,393.2,453.7,20.6,4.154,,
01199eb3-79ad-44a6-8320-de0de9e058d8,SCNF010,2025-05-14 11:57:00,417.5,467.3,22.57,4.109,,
011e5519-2c50-47b8-bc31-b4dd256fc6de,SCNF010,2025-05-13 06:40:00,322.3,456.7,19.6,4.124,,
013b0f37-503a-4d35-b944-87b10558ec8f,SCNF010,2025-05-11 18:03:00,424.7,468.7,20.5,4.382,,
014dfb07-80f2-4160-9cf6-0cd82448fc1c,SCNF010,2025-05-12 13:34:00,408.2,695.7,16.3,4.109,,
014e8071-7da6-4bc5-8b01-1a451aab906d,SCNF010,2025-05-11 13:40:00,417.7,483.7,20.6,4.063,,
017cec24-5da6-47d2-9344-a61cf903a610,SCNF010,2025-05-13 14:49:00,385.0,458.8,20.0,4.397,,
0184bb38-86d6-4479-a179-4920ca0afde5,SCNF010,2025-05-11 22:01:00,476.2,490.8,20.4,4.397,,
0189ff9f-ef91-4e4f-83c8-c0399e2045aa,SCNF010,2025-05-12 09:57:00,363.5,471.2,20.2,4.109,,
0190f025-3a6d-4a13-a0df-78a11b7fda76,SCNF010,2025-05-12 07:13:00,386.0,456.8,20.1,4.124,,
01b177cf-93a1-4dc2-8113-17d8c30ca6f1,SCNF010,2025-05-11 22:02:00,465.5,492.0,20.5,4.397,,
01beb578-e166-4127-a507-41c830192f2b,SCNF010,2025-05-10 21:38:00,469.5,473.5,22.7,4.291,,
01caacdf-932f-4b5d-af06-8b20ab1abd7f,SCNF010,2025-05-11 21:16:00,407.5,475.2,20.5,4.397,,
01dbc947-11d9-44df-87bb-4c3b6c80b793,SCNF010,2025-05-12 09:09:00,403.3,458.5,20.2,4.124,,
01e788cb-ac15-451d-9cf7-309c1bb0ebf0,SCNF010,2025-05-13 19:51:00,366.3,453.2,20.5,4.139,,
01e97481-2a3a-4f3e-bc00-0418d96f1068,SCNF010,2025-05-10 22:42:00,409.3,461.2,21.1,4.291,,
01f64181-9c18-4a80-a2da-8c8bd2135405,SCNF010,2025-05-13 13:57:00,409.3,453.0,20.2,4.397,,
01fb593b-36c8-4801-a9bf-b9be6c95fb21,SCNF010,2025-05-10 22:30:00,416.0,461.3,21.1,4.291,,
01fc31b4-f45e-4597-92fb-db0cbcaa5789,SCNF010,2025-05-14 07:03:00,385.7,460.7,20.5,4.124,,
02057400-f871-491c-b77b-8a74f312ae0e,SCNF010,2025-05-11 17:29:00,415.2,462.3,20.0,4.275,,
020a6ea4-0ddf-4b3d-b2af-8d879b1b76d1,SCNF010,2025-05-11 10:01:00,386.7,465.3,20.3,4.048,,
021ec644-ae57-4a3d-803e-07995d8726ce,SCNF010,2025-05-13 19:55:00,369.8,462.5,20.5,4.139,,
022297c0-a0f8-44fc-9e40-75c277c327b1,SCNF010,2025-05-10 20:14:00,427.2,469.5,21.3,4.291,,
022386c5-65f9-4810-9aff-c4ed35ca24a6,SCNF010,2025-05-12 20:32:00,295.3,454.8,20.0,4.139,,
023e8326-5666-433b-91f1-1ea487a995f6,SCNF010,2025-05-14 15:18:00,374.2,455.2,21.3,4.275,,
0249e71e-5813-45c3-a4e6-d8049682562d,SCNF010,2025-05-11 16:04:00,398.8,475.8,20.9,4.275,,
0252dd31-5fa0-4142-af94-fea94c6fd576,SCNF010,2025-05-12 01:22:00,398.3,464.5,20.1,4.2,,
026fe650-c607-445c-bd36-1b0c78f907b6,SCNF010,2025-05-14 15:42:00,374.3,464.7,21.2,4.382,,
0271260e-3302-4c21-a7c3-efb9b16d0d56,SCNF010,2025-05-12 09:14:00,404.5,471.5,20.2,4.124,,
02786cf3-3f7c-4b61-a13b-6641a9b1bbca,SCNF010,2025-05-12 13:36:00,439.8,683.3,15.9,4.109,,
0281489b-47aa-4449-bdf7-7043e4d8dbff,SCNF010,2025-05-11 18:28:00,407.3,461.3,20.2,4.382,,
02966a29-34bb-455f-998a-4c0d742dac6d,SCNF010,2025-05-12 21:35:00,333.0,462.5,19.9,4.397,,
0298c008-9ee3-4ff1-858d-cff417f3ab9e,SCNF010,2025-05-12 02:40:00,397.0,474.2,19.9,4.169,,
02a54339-dc25-4267-88bb-8db6beac7b9b,SCNF010,2025-05-10 20:27:00,415.0,463.5,21.4,4.291,,
02ae8f9e-d596-41f3-b44f-2bf595028f23,SCNF010,2025-05-12 19:45:00,278.2,467.0,19.2,4.397,,
02b71b43-1438-4973-a58e-c18885041081,SCNF010,2025-05-11 23:43:00,394.7,466.7,19.9,4.2,,
02c30ab3-2d98-4dd0-aee9-f23cad7af8f1,SCNF010,2025-05-13 03:40:00,313.5,458.5,20.45,4.154,,
02c34c88-6c4d-4e27-8a8f-408b3fe43098,SCNF010,2025-05-12 17:43:00,260.0,478.0,18.8,4.382,,
02ce1184-ae5f-4c8f-862d-39eb1a275611,SCNF010,2025-05-12 15:03:00,302.3,538.5,16.5,4.23,,
02d2ba29-bcb3-4a28-86a2-cef6ac8ba711,SCNF010,2025-05-12 18:32:00,348.8,464.0,19.1,4.382,,
02e64253-3b06-48a4-b7d6-a688a7e0d84d,SCNF010,2025-05-11 12:25:00,426.7,469.3,20.5,4.048,,
0314e6b3-9321-41ef-9658-1b3426f315e3,SCNF010,2025-05-13 14:58:00,378.7,453.7,20.0,4.397,,
0329a767-f2cc-46d3-8d95-159ee5e487ee,SCNF010,2025-05-14 00:37:00,383.2,455.2,20.4,4.2,,
03354776-793b-4ee2-89fd-ace6c8ee18bb,SCNF010,2025-05-11 00:44:00,418.8,464.2,21.1,4.275,,
03386c87-7c20-495d-ab72-abef3b36f2cc,SCNF010,2025-05-13 05:32:00,374.0,455.3,20.6,4.139,,
034b1888-d996-439b-9921-f4a889f7141e,SCNF010,2025-05-14 00:33:00,396.7,463.8,20.4,4.2,,
034edec9-bce7-4c1a-b046-e7ad17ad5e57,SCNF010,2025-05-12 17:35:00,263.7,469.8,18.7,4.26,,
0357a652-0096-40a8-9aa2-c2f8907661a0,SCNF010,2025-05-13 06:15:00,346.0,458.8,19.8,4.139,,
03670736-5d70-43c5-b655-0bdf0c030dec,SCNF010,2025-05-12 16:55:00,273.0,514.2,18.8,4.275,,
038893a9-1f95-4e9a-8766-6d76214feaef,SCNF010,2025-05-11 14:52:00,413.7,469.3,20.7,4.275,,
03972c90-4d66-4f90-bdaa-9ab9e4f01b64,SCNF010,2025-05-14 13:16:00,377.3,468.0,21.4,4.109,,
0397cabb-009c-447e-843b-c5a58d311b60,SCNF010,2025-05-11 04:59:00,455.0,461.0,20.5,4.048,,
03a3947e-0c6d-497d-9bf6-431d2d6f75ec,SCNF010,2025-05-11 11:09:00,400.3,470.2,20.3,4.048,,
03e03373-8421-49c9-9152-17162c75da47,SCNF010,2025-05-11 14:32:00,431.7,465.0,20.9,4.124,,
03f5b176-7eb5-42c4-83b7-b285723dfe9e,SCNF010,2025-05-14 10:27:00,380.7,453.2,20.6,4.109,,
0408878c-d0e7-4247-b1f6-edde8e3acb53,SCNF010,2025-05-12 11:45:00,425.0,465.0,20.0,4.109,,
0409440b-a7d1-45ce-b9a0-5483834db641,SCNF010,2025-05-11 16:23:00,471.8,465.2,21.3,4.275,,
040e08da-780d-4632-bbea-9cc567d5933e,SCNF010,2025-05-11 07:39:00,429.5,473.8,20.2,4.048,,
0431b5c5-0071-4c46-a688-3cbebb09dc0d,SCNF010,2025-05-13 22:18:00,376.7,453.0,19.9,4.397,,
043c3ff7-9942-43c8-a2ed-deff0db7d5ac,SCNF010,2025-05-12 11:46:00,425.3,469.3,20.0,4.109,,
